CenterRa CenterDec StarDensity
150.0000 -80.00000 33
150.0000 -75.00000 26
150.0000 -70.00000 21
150.0000 -65.00000 29
150.0000 -60.00000 26
150.0000 -55.00000 17
150.0000 -50.00000 16
150.0000 -45.00000 8
150.0000 -40.00000 5
150.0000 -35.00000 2
150.0000 -30.00000 2
150.0000 -25.00000 3
150.0000 -20.00000 2
150.0000 -15.00000 4
150.0000 -10.00000 3
150.0000 -05.00000 1
150.0000 +00.00000 2
150.0000 +05.00000 3
150.0000 +10.00000 5
150.0000 +15.00000 4
150.0000 +20.00000 4
150.0000 +25.00000 6
150.0000 +30.00000 3
150.0000 +35.00000 2
150.0000 +40.00000 5
150.0000 +45.00000 3
150.0000 +50.00000 5
150.0000 +55.00000 8
150.0000 +60.00000 5
150.0000 +65.00000 9
150.0000 +70.00000 18
150.0000 +75.00000 11
150.0000 +80.00000 13
150.0000 +85.00000 46
154.9999 -85.00000 59
154.9999 -80.00000 36
154.9999 -75.00000 26
154.9999 -70.00000 18
154.9999 -65.00000 25
154.9999 -60.00000 25
154.9999 -55.00000 15
154.9999 -50.00000 11
154.9999 -45.00000 8
154.9999 -40.00000 4
154.9999 -35.00000 2
154.9999 -30.00000 3
154.9999 -25.00000 3
154.9999 -20.00000 2
154.9999 -15.00000 5
154.9999 -10.00000 4
154.9999 -05.00000 2
154.9999 +00.00000 2
